ObjId,DocumentType,DocId,DocketId,Title,Food,Tobacco
09000064816b083a,Other,FDA-2013-N-0590-0002,FDA-2013-N-0590,"memo to ddm re. on implementation of the food and drug administration food safety modernization act amendments to the reportable food registry provisions of the federal food, drug, and cosmetic act",1,0
0900006481681990,Proposed Rule,FDA-2013-N-0590-0001,FDA-2013-N-0590,"implementation of the food and drug administration food safety
modernization act amendments to the reportable food registry provisions of the federal food, drug, and cosmetic act",1,0
090000648174fb4f,Proposed Rule,FDA-2013-N-0590-0003,FDA-2013-N-0590,"implementation of the food and drug administration food safety
modernization act amendments to the reportable food registry provisions of the federal food, drug, and cosmetic act; reopening of comment period",1,0
0900006482581c20,Notice,FDA-2017-N-1393-0001,FDA-2017-N-1393,government-owned inventions; availability for licensing,0,0
090000648214c3fa,Supporting & Related Material,FDA-2011-F-0171-0279,FDA-2011-F-0171,reference 3 - fda fria july 2016 final re food labeling; calorie labeling of articles of food in vending machines; extension of compliance date,1,0
0900006482178a99,Notice,FDA-2011-F-0171-0280,FDA-2011-F-0171,"calorie labeling of articles of food in vending machines: guidance for
industry; small entity compliance guide; availability",1,0
0900006481951d17,Supporting & Related Material,FDA-2011-F-0171-0200,FDA-2011-F-0171,"reference - 6 “2012 census of the industry,” vending times, 2012; 52(12) re food labeling; calorie labeling of articles of food in vending machines",1,0
090000648217ac1b,Other,FDA-2011-F-0171-0283,FDA-2011-F-0171,calorie labeling of articles of food in vending machines: guidance for industry; draft guidance,1,0
0900006480c1cfbc,Proposed Rule,FDA-2011-F-0171-0001,FDA-2011-F-0171,food labeling: calorie labeling of articles of food in vending machines,1,0
0900006480fac182,Other,FDA-2011-F-0171-0251,FDA-2011-F-0171,"fda/oc/op to division of dockets management - omb review, executive order 12866, food labeling; calorie labeling of articles of food in vending machines, proposed rule published 4/6/2011 - memorandum",1,0
09000064819516e4,Supporting & Related Material,FDA-2011-F-0171-0193,FDA-2011-F-0171,"reference 1- fda/cfsan, “food labeling: calorie labeling of articles of food in vending machines, regulatory impact analysis,” 2014 re food labeling; calorie labeling of articles of food in vending machines",1,0
09000064819516e5,Supporting & Related Material,FDA-2011-F-0171-0194,FDA-2011-F-0171,"reference 2- fda/cfsan, “food labeling: calorie labeling of articles of food in vending machines nprm, preliminary regulatory impact analysis,”  re food labeling; calorie labeling of articles of food in vending machines",1,0
09000064819516e7,Supporting & Related Material,FDA-2011-F-0171-0196,FDA-2011-F-0171,"reference 4 - memo to file. correspondence with eric dell of the national automatic merchandising association. april 13, 2013 re food labeling; calorie labeling of articles of food in vending machines",1,0
