ObjId,DocumentType,DocId,DocketId,Title
09000064816b083a,Other,FDA-2013-N-0590-0002,FDA-2013-N-0590,"Memo to DDM Re. on Implementation of the Food and Drug Administration Food Safety Modernization Act Amendments to the Reportable Food Registry Provisions of the Federal Food, Drug, and Cosmetic Act"
0900006481681990,Proposed Rule,FDA-2013-N-0590-0001,FDA-2013-N-0590,"Implementation of the Food and Drug Administration Food Safety
Modernization Act Amendments to the Reportable Food Registry Provisions of the Federal Food, Drug, and Cosmetic Act"
090000648174fb4f,Proposed Rule,FDA-2013-N-0590-0003,FDA-2013-N-0590,"Implementation of the Food and Drug Administration Food Safety
Modernization Act Amendments to the Reportable Food Registry Provisions of the Federal Food, Drug, and Cosmetic Act; Reopening of Comment Period"
0900006482581c20,Notice,FDA-2017-N-1393-0001,FDA-2017-N-1393,Government-Owned Inventions; Availability for Licensing
090000648214c3fa,Supporting & Related Material,FDA-2011-F-0171-0279,FDA-2011-F-0171,Reference 3 - FDA FRIA July 2016 FINAL re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Extension of Compliance Date
0900006482178a99,Notice,FDA-2011-F-0171-0280,FDA-2011-F-0171,"Calorie Labeling of Articles of Food in Vending Machines: Guidance for
Industry; Small Entity Compliance Guide; Availability"
0900006481951d17,Supporting & Related Material,FDA-2011-F-0171-0200,FDA-2011-F-0171,"Reference - 6 “2012 Census of the Industry,” Vending Times, 2012; 52(12) re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines"
090000648217ac1b,Other,FDA-2011-F-0171-0283,FDA-2011-F-0171,Calorie Labeling of Articles of Food in Vending Machines: Guidance for Industry; Draft Guidance
0900006480c1cfbc,Proposed Rule,FDA-2011-F-0171-0001,FDA-2011-F-0171,Food Labeling: Calorie Labeling of Articles of Food in Vending Machines
0900006480fac182,Other,FDA-2011-F-0171-0251,FDA-2011-F-0171,"FDA/OC/OP to Division of Dockets Management - OMB Review, Executive Order 12866, Food Labeling; Calorie Labeling of Articles of Food in Vending Machines, Proposed Rule Published 4/6/2011 - Memorandum"
09000064819516e4,Supporting & Related Material,FDA-2011-F-0171-0193,FDA-2011-F-0171,"Reference 1- FDA/CFSAN, “Food Labeling: Calorie Labeling of Articles of Food in Vending Machines, Regulatory Impact Analysis,” 2014 re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines"
09000064819516e5,Supporting & Related Material,FDA-2011-F-0171-0194,FDA-2011-F-0171,"Reference 2- FDA/CFSAN, “Food Labeling: Calorie Labeling of Articles of Food in Vending Machines NPRM, Preliminary Regulatory Impact Analysis,”  re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines"
09000064819516e7,Supporting & Related Material,FDA-2011-F-0171-0196,FDA-2011-F-0171,"Reference 4 - Memo to File. Correspondence with Eric Dell of the National Automatic Merchandising Association. April 13, 2013 re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines"
0900006481951d18,Supporting & Related Material,FDA-2011-F-0171-0198,FDA-2011-F-0171,"Reference 7- ""2012 State of the Vending Industry Report, 2013,” Automatic Merchandiser re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines"
0900006481951d19,Supporting & Related Material,FDA-2011-F-0171-0199,FDA-2011-F-0171,Reference 8 - National Automatic Merchandising Association. Comments of: The National Automatic Merchandising Association. Docket No. FDA-2010-N-0298. 2010 re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines
0900006481973980,Supporting & Related Material,FDA-2011-F-0171-0207,FDA-2011-F-0171,"Tab C Final Rule Impact Analysis, Final Regulatory Action as Cleared by OIRA re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines (Final Rule); Publication Date: December 1, 2014"
0900006480c19867,Supporting & Related Material,FDA-2011-F-0171-0005,FDA-2011-F-0171,"Reference 2 -  ""Food and Drug Administration, Food Labeling Guide"" - [Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule] re FDA-2011-F-0171-0001"
0900006480c19ccc,Supporting & Related Material,FDA-2011-F-0171-0011,FDA-2011-F-0171,"Reference List - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule, re FDA-2011-F-0171-0001]"
0900006480c1a0ec,Supporting & Related Material,FDA-2011-F-0171-0020,FDA-2011-F-0171,"Reference 39 - ""U.S. Census Bureau, Statistical Abstract of the United States: 2011"" - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule, re FDA-2011-F-0171-0001]"
090000648214c3f7,Supporting & Related Material,FDA-2011-F-0171-0276,FDA-2011-F-0171,"Reference 1 - Letter from Karin F. R. Moore from GMA March 2016 re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines;
Extension of Compliance Date"
090000648217a73b,Other,FDA-2011-F-0171-0282,FDA-2011-F-0171,Guidance for Industry Calorie Labeling of Articles of Food in Vending Machines - Small Entity Compliance Guide
090000648197397f,Supporting & Related Material,FDA-2011-F-0171-0206,FDA-2011-F-0171,"Tab B Final Rule Impact Analysis (FRIA) Substantive Changes Between the Draft Submitted to OIRA for Review and the Regulatory Action Subsequently Cleared by OIRA re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines (Final Rule); Publication Date: December 1, 2014"
090000648214c3f9,Supporting & Related Material,FDA-2011-F-0171-0278,FDA-2011-F-0171,"Reference 2a - Attachment to Letter from Karin Moore of GMA June 2016 re Food Labeling; Calorie Labeling of Articles of Food in Vending Machines;
Extension of Compliance Date"
0900006482178bd6,Notice,FDA-2011-F-0171-0281,FDA-2011-F-0171,"Calorie Labeling of Articles of Food in Vending Machines; Draft Guidance for
Industry; Availability"
0900006480c19866,Supporting & Related Material,FDA-2011-F-0171-0004,FDA-2011-F-0171,"Reference 1 -  ""Merriam Webster Collegiate Dictionary, Tenth Edition, 1993"" - [Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule] re FDA-2011-F-0171-0001"
0900006480c19865,Supporting & Related Material,FDA-2011-F-0171-0003,FDA-2011-F-0171,"Reference List - ""Vending Machine Labeling"" - [Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule] re FDA-2011-F-0171-0001"
0900006480c19881,Supporting & Related Material,FDA-2011-F-0171-0009,FDA-2011-F-0171,"Reference 28 - ""Eastern Research Group, Inc., Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report” "" - [Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule] re FDA-2011-F-0171-0001"
0900006480c19ccb,Supporting & Related Material,FDA-2011-F-0171-0010,FDA-2011-F-0171,"Preliminary Regulatory Impact Analysis, March 2011, Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule, re FDA-2011-F-0171-0001"
0900006480c1a0c8,Supporting & Related Material,FDA-2011-F-0171-0013,FDA-2011-F-0171,"Reference 3 - ""U.S. Small Business Administration, Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective November 5, 2010"" - [Preliminary Regulatory Impact Analysis, March 2011, Food Labeling; Food Labeling; Calorie Labeling of Articles of Food in Vending Machines; Proposed Rule, re FDA-2011-F-0171-0001]"
0900006481fdeb39,Supporting & Related Material,FDA-2012-N-1210-0900,FDA-2012-N-1210,Reference Index for Revision of the Nutrition and Supplement Facts labels final rule re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fded9a,Supporting & Related Material,FDA-2012-N-1210-0953,FDA-2012-N-1210,Reference 17 Lifestyle Interventions to Reduce Cardiovascular Risk re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdeda1,Supporting & Related Material,FDA-2012-N-1210-0946,FDA-2012-N-1210,"Reference 24 IOM DRI for Energy, Chapter 5 re Food Labeling: Revision of the Nutrition and Supplement Facts Labels"
0900006481fdeda2,Supporting & Related Material,FDA-2012-N-1210-0945,FDA-2012-N-1210,Reference 25 IOM DRIs - Guiding Principles for Nutrition re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdee0a,Supporting & Related Material,FDA-2012-N-1210-0979,FDA-2012-N-1210,Reference 47 Association between omega-3 fatty a re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdee0b,Supporting & Related Material,FDA-2012-N-1210-0978,FDA-2012-N-1210,Reference 48 Seafood Omega-3 Intake and risk of Coronary He re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdee0e,Supporting & Related Material,FDA-2012-N-1210-0975,FDA-2012-N-1210,Reference 51 Long-chain omega-3 fatty acids eic re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdee0f,Supporting & Related Material,FDA-2012-N-1210-0974,FDA-2012-N-1210,Reference 52 Scientific opinion Labelling reference intake re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdee11,Supporting & Related Material,FDA-2012-N-1210-0972,FDA-2012-N-1210,"Reference 54 Dietary cholesterol from eggs increases the ratio of total cholesterol to high-density lipoprotein cholesterol in humans, a meta-analysis re Food Labeling: Revision of the Nutrition and Supplement Facts Labels"
0900006481fdee63,Supporting & Related Material,FDA-2012-N-1210-1028,FDA-2012-N-1210,Reference 110 Expert memo no1_5_11_16 re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf075,Supporting & Related Material,FDA-2012-N-1210-1148,FDA-2012-N-1210,Reference 162 Anthropometric reference data for c re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf07e,Supporting & Related Material,FDA-2012-N-1210-1140,FDA-2012-N-1210,Reference 170 FDA 2004 and 2005 Health and Diet Survey re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf131,Supporting & Related Material,FDA-2012-N-1210-0882,FDA-2012-N-1210,Reference 016-02 Reformulation Cost Model re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf135,Supporting & Related Material,FDA-2012-N-1210-0878,FDA-2012-N-1210,Reference 016-06 Out of Control: Visceral Influences on Behavior re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf13a,Supporting & Related Material,FDA-2012-N-1210-0926,FDA-2012-N-1210,"Reference 16-11 Do dietary intakes affect search for nutrient information
on food labels? re Food Labeling: Revision of the Nutrition and Supplement Facts Labels"
0900006481fdf141,Supporting & Related Material,FDA-2012-N-1210-0919,FDA-2012-N-1210,"Reference 16-18 Attention Capture and Transfer in Advertising: Brand, Pictorial, and Text-Size Effects re Food Labeling: Revision of the Nutrition and Supplement Facts Labels"
0900006481fdf18d,Supporting & Related Material,FDA-2012-N-1210-0911,FDA-2012-N-1210,Reference 16-26 Health with Special Feature on Socioeconomic Status and Health re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf190,Supporting & Related Material,FDA-2012-N-1210-0908,FDA-2012-N-1210,Reference 16-29 Status of Nutrition Labeling re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf5ba,Supporting & Related Material,FDA-2012-N-1210-1099,FDA-2012-N-1210,Reference 155 Ileal and faecal protein digesti re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf6b2,Supporting & Related Material,FDA-2012-N-1210-1157,FDA-2012-N-1210,Reference 208-The Requirement of Magnesium by the Normal Adu re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf6b6,Supporting & Related Material,FDA-2012-N-1210-1153,FDA-2012-N-1210,"Reference 212-Magnesium, nature's physiologic calcium blocke re Food Labeling: Revision of the Nutrition and Supplement Facts Labels"
0900006481fdf6b8,Supporting & Related Material,FDA-2012-N-1210-1207,FDA-2012-N-1210,Reference 214-Dorup-1993-Correlation between magnesium and p re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf6c0,Supporting & Related Material,FDA-2012-N-1210-1199,FDA-2012-N-1210,Reference 222-USDA_Labeling re Food Labeling: Revision of the Nutrition and Supplement Facts Labels
0900006481fdf6f3,Supporting & Related Material,FDA-2012-N-1210-1183,FDA-2012-N-1210,"Reference 238-IOM_DRI for Folate, Chapter 8 re Food Labeling: Revision of the Nutrition and Supplement Facts Labels"
0900006481fdf6f4,Supporting & Related Material,FDA-2012-N-1210-1182,FDA-2012-N-1210,"Reference 239-The Calcium Quandary, How Consumers Use Nutrit re Food Labeling: Revision of the Nutrition and Supplement Facts Labels"
090000648172d7b5,Supporting & Related Material,FDA-1995-N-0063-0140,FDA-1995-N-0063,Reference 52 Summary of Findings
